C | taste | Where would you most like to make a new friend as an adult? | hobby_class = a class, club, or team ; through_existing_friends ; work_or_school ; online_community ; neighborhood ; gym_or_sports ; volunteering ; other
C | personality | How do you feel when friends tease you? | enjoy_it ; fine_from_close_friends ; tolerate_it ; dislike_it ; hate_it
C | values | What should a friend do when asked to take sides in your divorce or breakup? | stay_neutral ; take_my_side ; take_whoever_was_wronged ; keep_both_but_separately
C | taste | Which way of keeping a friendship alive do you like most? | regular_rituals ; spontaneous_meetups ; constant_texting ; occasional_long_calls ; annual_visits
C | values | Is it okay to invite only some members of a friend group to an event? | yes_always ; yes_if_its_small ; only_if_kept_quiet ; no_invite_everyone
C | personality | If you realize you're the only one who plans things in the group, what do you do? | keep_planning ; stop_and_see_what_happens ; say_something ; share_planning_duties ; other
C | values | What is the best response when a friend apologizes for a serious hurt? | forgive_fully ; forgive_but_keep_distance ; need_time ; not_forgive ; depends
C | values | Which would bother you more from a close friend? | lying_to_protect_me ; telling_a_painful_truth
C | taste | What would be your ideal friendship reunion? | weekend_away ; big_dinner ; revisit_old_places ; party ; low_key_hangout
C | values | What should you do if you run into an old friend you drifted from? | stop_and_chat ; wave_and_move_on ; suggest_meeting_up ; pretend_not_to_see_them
C | values | Your friend's parent dies. What is the best thing to do? | attend_the_funeral ; bring_food ; send_a_card ; call_them ; check_in_weeks_later ; all_of_these
C | social | What do most people say is the best way to support a grieving friend? | just_being_there ; practical_help ; sending_messages ; bringing_food ; giving_space ; other
C | values | Should old friends be invited to your wedding even if you've drifted apart? | yes ; only_if_budget_allows ; only_if_we_still_talk ; no
C | taste | What would you most like to share with a close friend? | apartment ; business ; vacation_home ; car ; pet ; nothing
C | values | What is the fairest way to handle a friend always borrowing your things? | set_limits ; stop_lending ; ask_for_returns ; its_fine ; ask_them_to_buy_their_own
C | personality | What do you tend to do when a friend is visibly jealous of you? | downplay_my_news ; talk_about_it ; ignore_it ; distance_myself ; reassure_them
C | values | What is the right thing to do if you like your friend's ex? | ask_friend_first ; never_act_on_it ; wait_a_long_time ; go_for_it ; depends_on_the_relationship
C | social | According to most people, what is the biggest friendship red flag? | always_needs_something ; gossips ; never_asks_about_you ; competitive ; unreliable ; controlling ; other
C | values | When a friend cancels because a date came up, how do you see it? | fine ; understandable_once ; rude ; unforgivable
C | taste | Which type of friend do you have the most of? | school_friends ; work_friends ; hobby_friends ; neighborhood_friends ; online_friends ; friends_of_family
C | values | A friend is being bullied at school or online. What do you do? | stand_up_for_them_publicly ; support_them_privately ; report_it ; help_them_ignore_it ; stay_out_of_it
C | personality | What is your typical reaction to a friend's surprise party for you? | love_it ; enjoy_it_but_embarrassed ; feel_uncomfortable ; dislike_it
C | values | Your friend asks to stay at your home for a few weeks. What do you do? | yes_gladly ; yes_with_rules ; yes_for_a_shorter_time ; help_find_another_place ; no
C | values | What should happen when roommates who are friends stop getting along? | talk_it_out ; set_house_rules ; one_moves_out ; wait_until_the_lease_ends ; other
C | taste | Would you rather live with a close friend or a stranger? | close_friend ; stranger ; acquaintance ; neither
C | values | Which household issue is most likely to ruin a friendship between roommates? | cleaning ; noise ; guests ; money_and_bills ; shared_food ; partners_staying_over ; other
C | values | What should you do when a friend always talks about themselves? | point_it_out_gently ; interrupt_with_my_news ; ask_less_questions ; accept_it ; see_them_less
C | personality | How do you respond to a friend's bad news in a group chat? | reply_right_away ; message_them_privately ; call_them ; react_with_emoji ; wait_for_others
C | values | Should you cover for a friend who calls in sick but is really at the beach? | yes ; only_if_it_doesnt_involve_me ; no ; depends_on_who_asks
C | taste | Where would you prefer to hang out with friends? | my_place ; their_place ; bar_or_restaurant ; outdoors ; cafe ; anywhere
C | values | A friend misses your big event without explanation. What do you do? | ask_what_happened ; wait_for_them_to_explain ; tell_them_im_hurt ; let_it_go ; take_it_as_a_sign
C | values | Which friendship arrangement seems healthiest? | friends_meet_each_other ; separate_friend_circles ; one_big_group
C | social | Which gift do most people consider appropriate for a friend's housewarming? | plant ; wine ; kitchen_item ; candle ; food ; nothing
C | values | When your friend has a big achievement, how should you celebrate? | public_post ; private_message ; take_them_out ; small_gift ; toast_at_next_gathering
C | personality | Which describes how you handle friends' secrets? | vault = never tell anyone ; tell_my_partner_only ; slip_up_sometimes ; forget_them_quickly
C | values | Is it okay to tell your partner a secret a friend told you? | yes_always ; only_if_partner_wont_share ; only_minor_ones ; never
C | values | A friend keeps asking you for rides. What do you do? | keep_giving_them ; ask_for_gas_money ; limit_the_rides ; say_no ; suggest_other_options
S | personality | How often do you initiate plans with friends? | I never initiate and wait to be invited ; I initiate only with my closest friend ; I initiate about as often as my friends do ; I am usually the one who suggests plans ; I plan almost every gathering my friends have
S | personality | How do you respond when a friend texts you? | I often leave messages unanswered for days ; I reply within a day or so ; I reply within a few hours ; I reply almost right away
S | values | How much effort would you put into a friend's surprise party? | I would just show up ; I would chip in money ; I would help decorate or bring food ; I would help organize it ; I would plan the whole thing myself
S | personality | How easily do you make new friends as an adult? | I have not made a new friend in years ; I make a new friend only when circumstances force it ; I make a new friend every so often ; I make new friends fairly easily ; I make friends almost everywhere I go
S | personality | How much do you rely on friends for emotional support? | I never talk to friends about my feelings ; I talk to friends only about minor worries ; I lean on friends when something big happens ; Friends are my main source of emotional support
S | values | How far would you go to help a friend in trouble at night? | I would give advice over the phone ; I would call someone who could help them ; I would drive across town to help ; I would drop anything and travel far to reach them
S | values | How honest are you when a friend asks for feedback on their creative work? | I only say positive things ; I praise it and hint at one small issue ; I give balanced praise and criticism ; I tell them exactly what doesn't work
S | personality | How competitive are you with your friends? | I never compare myself to friends ; I notice differences but they don't bother me ; I sometimes feel a quiet sense of rivalry ; I often feel I need to keep up with friends ; I openly compete with friends in most things
S | personality | How do you feel when a friend is more successful than you? | I feel purely happy for them ; I feel happy with a small twinge of envy ; I feel noticeably envious for a while ; I find it hard to be around them
S | values | How much money would you lend a close friend without expecting it back? | I would not lend money at all ; I would lend enough to cover a meal ; I would lend enough to cover a bill ; I would lend enough to cover rent ; I would lend a large amount without hesitation
S | personality | How much do you share friends' secrets with others? | I never repeat anything told in confidence ; I occasionally tell my partner ; I sometimes share secrets with one trusted person ; I often let secrets slip
S | personality | How often do you see your closest friend in person? | I have not seen them in years ; I see them about once a year ; I see them every few months ; I see them every month or so ; I see them almost every week
S | values | How quickly should a friend pay you back? | Whenever they happen to remember ; Within a few months ; Within a few weeks ; By their next payday ; Within a day or two
S | personality | How do you handle group events where you know only the host? | I avoid going ; I go but leave early ; I stay near the host all night ; I chat with a few new people ; I work the room and meet everyone
S | values | How much should friends get involved in each other's family conflicts? | Friends should stay out entirely ; Friends should only listen ; Friends should give advice when asked ; Friends should step in and help directly
S | personality | How much do your friends know about your finances? | They know nothing about my money ; They know roughly what my job pays ; They know about my money worries ; They know exact figures about my income and debts
S | personality | How often do you check in on friends who are going through a hard time? | I wait for them to reach out ; I check in once ; I check in every week or so ; I check in almost every day
S | personality | How much of your free time goes to friends? | Almost none of my free time ; A small slice of my free time ; About half my free time ; Most of my free time
S | values | How acceptable is it for a friend to show up late? | Any lateness is rude ; A few minutes late is fine ; Being a quarter hour late is fine with a text ; Being an hour late is fine if they come ; Time doesn't matter to me at all
S | personality | How do you act when you're new to a friend group? | I stay silent until spoken to ; I answer questions but don't start conversations ; I join conversations when there's an opening ; I quickly start jokes and conversations
S | personality | How often do you say no to a friend's request? | I almost never say no to friends ; I say no only when it's impossible ; I say no when it costs me a lot ; I say no whenever I don't want to do it
S | values | How much should friendship survive distance? | Friendships naturally end when someone moves ; Friendships should shift to occasional check-ins ; Friendships should stay close with effort ; Friendships should feel unchanged by distance
S | personality | How do you feel after spending a whole day with friends? | Completely drained ; A bit tired and ready to be alone ; About the same as before ; Energized ; Buzzing and wanting more
S | personality | How easily do you open up to new friends? | I take years to share anything personal ; I share personal things after many months ; I share once we've had a few deep talks ; I share personal things within the first few meetings ; I tell new friends almost everything right away
S | values | How much should you sacrifice for a best friend's wedding? | I would attend only if it's convenient ; I would attend even if it means a long trip ; I would take unpaid leave to attend ; I would spend a large chunk of savings to be there
S | personality | How do you handle conflict with a close friend? | I avoid it and hope it passes ; I drop hints until they notice ; I bring it up when the timing seems right ; I address it directly as soon as it happens
S | values | How much should friends tell each other about their romantic lives? | Nothing at all ; Only that they are seeing someone ; The main ups and downs ; Almost every detail
S | personality | How many friend groups do you belong to? | I don't belong to any friend group ; I belong to one friend group ; I move between a couple of groups ; I am part of many separate groups
S | values | How much do you expect friends to remember important dates in your life? | I don't expect anything ; I hope they remember my birthday ; I expect them to remember my birthday ; I expect them to remember my birthday and big milestones
S | personality | How often do you lose touch with friends after changing jobs or schools? | I keep almost all of those friendships ; I keep most of those friendships ; I keep one or two of those friendships ; I lose touch with nearly everyone
S | values | How much should you defend a friend who isn't present when others criticize them? | Say nothing ; Change the subject ; Offer a mild defense ; Firmly stand up for them
S | personality | How long do you hold a grudge against a friend? | I forget about it within a day ; I get over it within a week ; It takes me months to let go ; I never fully let go
S | values | How much should a best friend put your friendship before their new partner? | The partner should always come first ; The partner usually comes first ; The friendship and the partner should be equal ; The friendship should usually come first
S | personality | How often do you reach out to old friends you haven't heard from in years? | I never reach out to old friends ; I reach out only if I need something ; I reach out when something reminds me of them ; I regularly reach out to keep old ties alive
S | personality | How do you behave in a group chat? | I have muted most group chats ; I read along but rarely post ; I post now and then ; I am one of the most active posters
S | values | How involved should friends be in planning each other's big events? | Friends should just attend ; Friends should help with small tasks ; Friends should take on a major role ; Friends should help plan everything
S | personality | How comfortable are you asking friends for help? | I never ask friends for help ; I ask only in emergencies ; I ask for small favors ; I ask freely for all kinds of help
S | personality | How much do you enjoy hosting friends at home? | I never host ; I host only when I have to ; I host now and then ; I love hosting and do it often
S | values | How far should you go to include a friend who has social anxiety? | I invite them once ; I invite them now and then ; I invite them every time ; I plan events around their comfort
S | personality | How do you react when a friend gives you tough criticism? | I get defensive and argue ; I stay quiet but feel hurt ; I take time and then consider it ; I thank them and take it on board right away
S | values | How much should a friendship change after one friend gets married? | It should not change at all ; It should shift a little ; It should shift a lot ; It should usually fade
S | personality | How often do you think about friends you've lost touch with? | They rarely cross my mind ; I think of them on their birthdays ; I think of them when a song or place reminds me ; I think about them most weeks
