# self.love.dating_attraction — choice batch A
C | taste | What kind of smile do you find most attractive? | wide_toothy_grin ; shy_half_smile ; crooked_smirk ; smile_with_the_eyes = a warm smile that reaches the eyes ; no_preference
C | social | Who would most people say should send the first message after matching on an app? | the_man ; the_woman ; whoever_is_more_interested ; whoever_matched_second ; does_not_matter
C | values | How should you respond if a date makes a comment you find mildly offensive? | call_it_out_right_away ; ask_what_they_meant ; let_it_go_but_note_it ; end_the_date ; laugh_it_off
C | taste | What kind of message do you most like to get the morning after a first date? | thanks_for_last_night ; a_joke_about_the_date ; asking_for_a_second_date ; a_photo_or_song_related_to_the_date ; nothing_prefer_space
C | personality | How do you usually act around someone you have a crush on? | extra_chatty ; quiet_and_awkward ; overly_casual ; very_flirty ; avoid_them ; exactly_like_normal
C | values | What is the best way to tell someone you only want something casual? | before_the_first_date ; on_the_first_date ; once_you_see_they_are_serious ; in_your_profile ; never_say_it_outright
C | values | When is the right moment to have the talk about being exclusive? | after_a_few_dates ; after_a_month_or_so ; when_one_person_brings_it_up ; when_you_stop_seeing_others ; it_should_be_obvious_without_talking
C | taste | Which hobby would make you least interested in dating someone? | hunting ; online_gaming_all_night ; collecting_dolls_or_figures ; extreme_sports ; crypto_trading ; none_of_these
C | social | What would most people say is the best age gap in dating? | same_age ; a_few_years_older_man ; a_few_years_older_woman ; any_gap_between_adults ; depends_on_life_stage
C | values | What should you do if a friend asks whether they can date your ex? | say_yes ; say_no ; yes_but_need_time ; tell_them_it_is_their_choice ; depends_on_how_it_ended
C | personality | What is your usual reaction when someone you are not interested in flirts with you? | play_along_politely ; shut_it_down_kindly ; pretend_not_to_notice ; feel_flattered ; feel_uncomfortable
C | values | What is the most respectful way to decline a dating app match's request to meet? | honest_not_feeling_it ; say_you_are_busy ; unmatch_without_reply ; keep_chatting_but_do_not_meet
C | taste | What is the most romantic weather for a first date? | sunny_afternoon ; light_rain ; snowy_evening ; warm_summer_night ; crisp_autumn_day ; does_not_matter
C | taste | Which kind of dancing on a date appeals to you most? | salsa_lessons ; club_dancing ; slow_dancing ; silly_dancing_at_home ; no_dancing_please
C | values | Which is the best way to handle a date who keeps checking their phone? | ask_if_everything_is_ok ; point_it_out ; check_yours_too ; end_the_date_early ; ignore_it
C | social | What would most people say is the most common reason people ghost? | avoiding_an_awkward_talk ; lost_interest ; met_someone_else ; got_busy ; felt_overwhelmed
C | taste | Which dating app feature would you most like to exist? | verified_photos ; video_before_meeting ; compatibility_quizzes ; friends_can_recommend_you ; limit_on_daily_matches ; reason_required_to_unmatch
C | values | How should you respond if your date asks about your past relationships on the first date? | answer_honestly ; give_a_short_summary ; deflect_politely ; say_it_is_too_early
C | taste | Which of these would you most want in someone you date? | good_listener ; great_storyteller ; problem_solver ; cheerleader ; calm_presence
C | values | What should you do if you run into a date's ex while out with them? | be_friendly ; stay_polite_but_brief ; let_your_date_handle_it ; leave_to_give_them_space
C | taste | Which city date would you most enjoy? | rooftop_bar ; food_market ; late_night_diner ; art_walk ; comedy_club ; bookstore_browse
C | taste | Which outdoor date would you most enjoy? | hiking ; picnic ; beach_day ; kayaking ; stargazing ; bike_ride
C | values | How soon is it fine to introduce someone you are dating to your friends? | first_few_dates ; once_you_are_exclusive ; after_a_couple_of_months ; only_when_it_is_serious
C | social | What would most people say is the best place to meet someone in person? | through_friends ; at_a_bar ; at_work ; at_the_gym ; at_church_or_community_group ; at_a_party
C | values | What should you do if your date orders something much more expensive than you expected when they are paying? | nothing ; offer_to_split ; order_less_yourself ; bring_it_up_later ; decide_against_a_second_date
C | taste | Which physical feature do you notice least in a potential partner? | height ; hair ; hands ; teeth ; shoes ; weight
C | personality | How do you typically handle rejection from someone you asked out? | shrug_it_off ; feel_embarrassed_for_days ; ask_why ; try_again_later ; tell_friends_and_laugh_about_it
C | values | What is the best way to reject someone's dating app message? | polite_no_thanks ; unmatch ; leave_it_unread ; reply_once_then_stop
C | taste | Which kind of hug at the end of a first date feels best? | quick_friendly_hug ; long_warm_hug ; side_hug ; no_hug_just_a_wave ; kiss_on_the_cheek
C | taste | What kind of conversation do you enjoy most on a date? | deep_and_philosophical ; silly_and_playful ; sharing_stories ; debating_opinions ; talking_about_dreams
C | values | How should you handle being attracted to your friend's sibling? | keep_it_to_yourself ; ask_your_friend_first ; pursue_it_openly ; wait_to_see_if_it_passes
# choice batch C
C | values | What should you do if you start to like someone you are only casually seeing? | tell_them ; keep_it_casual_and_hope ; pull_back_to_protect_yourself ; drop_hints ; end_it
C | taste | Which trait makes a person most fun to date? | spontaneity ; curiosity ; playfulness ; generosity ; optimism ; a_sense_of_adventure
C | values | What is the right way to respond to a compliment from a stranger you are not interested in? | thank_them_and_move_on ; smile_and_ignore ; say_you_are_taken ; return_the_compliment
C | personality | Which role do you usually take in the early stage of dating? | the_pursuer ; the_one_being_pursued ; equal_partners ; the_planner ; the_go_with_the_flow_one
C | taste | Which setting feels least romantic to you for a first date? | fast_food_restaurant ; movie_theater ; loud_nightclub ; their_place ; a_work_event ; a_gym
C | values | When should you delete a dating app after you start seeing someone? | after_the_first_great_date ; after_a_few_dates ; once_you_agree_to_be_exclusive ; when_they_delete_theirs ; no_need_to_delete
C | social | Which dating stage would most people say is the most stressful? | waiting_for_a_reply ; the_first_date ; deciding_whether_to_say_how_you_feel ; the_exclusivity_talk ; meeting_their_friends
C | taste | What kind of gift would you most like from someone you have only been on a few dates with? | a_book_they_think_you_would_like ; flowers ; a_small_snack_you_mentioned ; a_playlist ; nothing_too_early
C | values | What should you do if your date shows up with a friend unannounced? | go_along_with_it ; ask_to_reschedule_one_on_one ; leave ; say_something_but_stay
C | taste | Which game would make the most fun date? | board_games ; arcade ; trivia_night ; escape_room ; pool_or_darts ; video_games
C | values | What is the right response when someone you rejected keeps asking you out? | firmly_repeat_no ; block_them ; involve_a_friend ; stop_replying ; agree_to_one_date_to_end_it
C | personality | How do you usually spend the hour before a date? | getting_ready_slowly ; rushing_from_work ; chatting_with_friends ; reading_or_relaxing ; going_over_what_to_talk_about
C | taste | Which kind of energy do you like in a date? | calm_and_grounded ; bubbly_and_loud ; mysterious ; warm_and_nurturing ; sharp_and_witty
C | values | Who should drive or arrange transport on a first date? | the_asker ; each_person_gets_themselves_there ; whoever_has_a_car ; the_person_who_lives_closer
C | social | Which first-date location would most people say is safest? | busy_coffee_shop ; public_park ; restaurant ; bar ; someone_s_home
C | values | How should you handle a match who asks for personal details too quickly? | answer_openly ; answer_vaguely ; ask_why_they_want_to_know ; unmatch
C | taste | What kind of music taste in a date appeals to you most? | same_as_mine ; completely_different_from_mine ; very_broad ; very_niche ; does_not_matter
C | personality | Which describes your approach to finding a partner? | actively_searching ; open_but_not_looking ; letting_friends_set_me_up ; taking_a_break ; leaving_it_to_fate
C | values | What is the best way to ask someone out after meeting at a party? | ask_for_their_number_there ; follow_them_on_social_media ; ask_the_host_for_contact ; wait_to_run_into_them_again
C | taste | What would be your ideal cheap date? | picnic_in_the_park ; street_food_crawl ; free_museum_day ; cooking_at_home ; sunset_walk ; thrift_shopping
C | taste | What would be your ideal fancy date? | tasting_menu_dinner ; theater_show ; weekend_away ; rooftop_cocktails ; opera_or_ballet ; hot_air_balloon
C | values | How should you handle a date who is much less experienced in dating than you? | go_slowly ; talk_about_expectations ; treat_it_like_any_date ; avoid_dating_them
C | social | What would most people say is a red flag on a dating profile? | no_photos_of_face ; list_of_demands ; mentions_an_ex ; only_group_photos ; says_not_looking_for_drama ; says_just_ask
C | taste | Which kind of humor do you find most attractive? | dry_and_sarcastic ; goofy_and_silly ; clever_wordplay ; self_deprecating ; dark_humor ; observational
C | values | What should you do if someone you are dating asks you to delete your dating app before you are ready? | delete_it ; explain_you_are_not_ready ; say_yes_but_keep_it ; end_things
C | taste | Which trait would you most want a partner's friends to see in you? | fun ; kind ; interesting ; easygoing ; good_for_them
C | values | Whose job is it to keep the conversation going early on by text? | both_equally ; whoever_is_more_interested ; the_one_who_asked_for_the_number ; the_one_who_texted_last_should_wait
C | personality | How do you usually decide whether to give someone a chance? | gut_feeling ; list_of_must_haves ; friends_opinions ; how_they_treat_me ; shared_goals
C | taste | Which surprise on a date would delight you most? | reservation_at_a_place_you_mentioned ; a_small_gift ; a_handwritten_card ; an_unplanned_adventure ; tickets_to_a_show
C | values | What is the fairest rule for splitting costs over the first few dates? | always_split ; take_turns_paying ; the_asker_pays_each_time ; the_higher_earner_pays_more ; no_rule_just_go_with_it
C | social | What would most people say men are most attracted to? | looks ; kindness ; humor ; confidence ; intelligence ; loyalty
C | social | What would most people say women are most attracted to? | looks ; kindness ; humor ; confidence ; intelligence ; financial_stability
C | taste | What kind of weekend habits would you want a date to have? | early_riser_and_active ; lazy_brunch_lover ; social_butterfly ; homebody ; always_traveling
C | values | What should you do if you and a friend have a crush on the same person? | talk_to_your_friend ; step_aside ; let_the_person_choose ; pursue_it_quietly ; both_back_off
C | personality | How do you usually find out whether a crush is single? | ask_them_directly ; check_their_social_media ; ask_a_mutual_friend ; look_for_clues_in_conversation ; assume_and_hope
C | taste | Which kind of profile photo makes you most likely to swipe right? | smiling_close_up ; doing_a_hobby ; travel_photo ; with_a_pet ; candid_laughing ; dressed_up_for_an_event
C | values | What should you do if a first date wants to go back to their place? | decline_politely ; go_if_you_trust_them ; suggest_another_public_place ; end_the_date_there
C | taste | How would you most like a date to dress for coffee? | casual_jeans_and_tshirt ; smart_casual ; dressed_up ; athletic_wear ; no_expectation
C | values | What is the right way to respond when a date is late without warning? | wait_and_say_nothing ; wait_and_mention_it ; leave_after_a_short_while ; text_to_ask_where_they_are
C | personality | Which best describes your dating history? | serial_monogamist ; mostly_single ; lots_of_casual_dating ; long_gaps_between_relationships ; just_starting_out
C | taste | Which setting do you find most romantic for a first kiss? | at_the_door_after_a_date ; under_the_stars ; during_a_slow_dance ; in_the_rain ; spontaneous_in_the_middle_of_the_date
C | values | What should you do if you find out your date lied about their height or age on their profile? | laugh_it_off ; bring_it_up ; end_the_date ; decide_no_second_date ; depends_on_how_big_the_lie
C | social | What would most people name as the best first-date question? | what_do_you_do_for_fun ; where_did_you_grow_up ; what_are_you_passionate_about ; what_is_your_dream_trip ; what_made_you_swipe_on_me
C | taste | Which quality makes someone seem most mature to you? | handles_conflict_calmly ; knows_what_they_want ; takes_care_of_their_home ; good_with_money ; apologizes_easily ; keeps_their_word
C | values | How should you handle a crush on your married coworker? | ignore_it_completely ; keep_a_professional_distance ; talk_to_a_friend_about_it ; look_for_another_job ; it_will_pass_on_its_own
C | taste | Which trait would make you date someone even if they were not your usual type? | incredible_kindness ; making_you_laugh_constantly ; shared_life_goals ; deep_conversation ; strong_chemistry
C | personality | When dating, which do you tend to be? | the_one_who_falls_first ; the_one_who_takes_longer_to_warm_up ; about_equal ; the_one_who_loses_interest_first
# choice batch D
C | taste | Which pet would you most like a date to own? | dog ; cat ; bird ; reptile ; fish ; no_pets
C | values | What should you do if a date's dog does not like you? | laugh_it_off ; try_to_win_it_over ; take_it_as_a_bad_sign ; avoid_their_place
C | taste | Which cuisine makes the best first-date dinner? | italian ; japanese ; mexican ; indian ; thai ; tapas_or_small_plates ; burgers
C | values | Which is the least acceptable excuse for canceling a date last minute? | too_tired ; work_ran_late ; forgot ; something_better_came_up ; bad_weather
C | social | What would most people say is the ideal length of a first date? | under_an_hour ; about_an_hour ; a_couple_of_hours ; the_whole_evening ; as_long_as_it_goes_well
C | taste | Which dating app would you choose if you could only use one type? | swipe_based ; long_profile_matchmaking ; interest_based_groups ; video_first ; none
C | personality | How do you usually react when a date pays for everything without asking? | feel_grateful ; feel_uncomfortable ; insist_on_paying_next_time ; feel_it_is_old_fashioned ; feel_charmed
C | values | What should you do if you realize you have been on a date with your friend's ex? | tell_your_friend_right_away ; stop_seeing_them ; ask_your_friend_how_they_feel ; keep_going_quietly
C | taste | Which trait makes a dating profile feel most genuine? | unposed_photos ; specific_details ; self_deprecating_humor ; honest_about_what_they_want ; no_cliches
C | values | Is it better to say what you are looking for in your first message or on the first date? | in_the_profile ; in_early_messages ; on_the_first_date ; after_a_few_dates ; only_when_asked
C | taste | What kind of adventure would you most like to share with a new date? | trying_a_new_cuisine ; road_trip ; learning_a_skill_together ; a_concert_in_another_city ; volunteering
C | social | Which dating cliche would most people say they are tired of? | love_to_travel ; partner_in_crime ; work_hard_play_hard ; looking_for_my_other_half ; fluent_in_sarcasm
C | personality | When a date suggests something you have never tried, how do you usually respond? | jump_at_it ; agree_but_feel_nervous ; suggest_something_else ; say_no_thanks
C | values | Which is the kindest way to decline a friend's offer to set you up? | say_you_are_not_ready ; say_you_prefer_meeting_on_your_own ; ask_for_more_details_first ; accept_to_be_polite
C | taste | Which of these would you most like a date to be passionate about? | art ; sports ; science ; cooking ; music ; social_causes ; their_career
C | values | How should you respond if a date asks for your phone to add their number but then scrolls through it? | take_it_back_and_say_something ; laugh_it_off ; end_the_date ; ignore_it
C | social | What would most people say is the worst day of the week for a first date? | monday ; tuesday ; friday ; saturday ; sunday
C | taste | Which dating app message timing do you like best? | instant_replies ; replies_within_a_few_hours ; one_reply_a_day ; whenever_they_have_time
C | personality | Which kind of dating mistake are you most likely to make? | moving_too_fast ; being_too_guarded ; ignoring_red_flags ; being_too_picky ; overthinking_texts
C | values | What should you do if you have a crush on your best friend's partner? | keep_it_to_yourself ; distance_yourself_from_them ; tell_your_best_friend ; tell_the_partner
C | taste | Which trait in how someone talks do you find most appealing? | slow_and_thoughtful ; fast_and_excited ; lots_of_questions ; great_stories ; confident_opinions
C | taste | What kind of sibling situation do you find appealing in a date? | only_child ; oldest_sibling ; youngest_sibling ; middle_child ; no_preference
C | social | Where would most people say they met their last partner? | through_friends ; online ; at_work ; at_school ; at_a_bar_or_party ; other
C | taste | Which is the most attractive way for a date to handle a mistake? | laugh_at_themselves ; apologize_sincerely ; fix_it_quickly ; shrug_and_move_on
C | values | How should you handle a date who talks badly about all their exes? | ask_about_it ; take_it_as_a_warning ; give_them_the_benefit_of_the_doubt ; end_things
C | personality | How do you feel right after a date that went very well? | giddy_and_excited ; calm_and_content ; anxious_it_will_not_last ; eager_to_tell_friends ; already_planning_the_next
C | taste | What would you most like a date to cook for you? | homemade_pasta ; a_family_recipe ; breakfast ; a_fancy_dessert ; takeout_is_fine
C | values | When should you tell a new date that you have a child? | in_your_profile ; before_the_first_date ; on_the_first_date ; after_a_few_dates ; once_it_is_serious
C | social | What would most people say is the most attractive job? | doctor ; firefighter ; teacher ; musician ; chef ; pilot ; entrepreneur
C | taste | Which setting do you like best for a date that runs late? | cozy_bar ; all_night_diner ; walking_around_the_city ; late_movie ; a_park_bench
C | values | What should you do if your date is rude to you but charming to everyone else? | say_something ; end_the_date ; give_them_another_chance ; not_see_them_again
C | personality | What do you do after a first date when you are unsure how it went? | wait_for_them_to_text ; text_them_first ; ask_friends_to_analyze_it ; let_it_go
C | taste | Which kind of eye contact do you find most attractive? | steady_and_confident ; shy_glances ; playful_and_teasing ; soft_and_warm
C | values | What is the most honest way to handle meeting someone attractive while you are dating someone else casually? | tell_the_person_you_are_dating ; pursue_both ; ignore_the_new_attraction ; end_the_casual_thing
C | social | Which dating move would most people call old-fashioned? | asking_in_person ; calling_instead_of_texting ; bringing_flowers ; asking_permission_to_kiss ; holding_the_door ; paying_for_everything
C | values | What should you do if you feel no attraction but really like someone's personality? | give_it_more_dates ; suggest_friendship ; end_it_kindly ; keep_going_and_hope
C | personality | Which dating advice do you most often ignore? | play_it_cool ; do_not_text_first ; do_not_talk_about_exes ; be_yourself ; take_it_slow
C | taste | Which social media behavior in someone you are dating do you find most attractive? | posts_rarely ; shares_funny_things ; posts_about_hobbies ; has_private_accounts ; no_social_media
# score batch A
S | personality | How do you usually feel before a first date? | I feel completely relaxed, like meeting any friend ; I feel a small flutter but stay calm ; I feel nervous and change my outfit several times ; I feel so anxious I consider canceling
S | taste | How do you feel about a date who shows up in gym clothes? | It would put me off for good ; I would find it a bit careless ; I would not mind at all ; I would find it refreshingly relaxed
S | values | How acceptable is it to ghost someone after a single date? | It is never acceptable ; It is okay only if they were rude or unsafe ; It is fine if you never promised anything ; It is completely normal and expected
S | taste | How much does a potential partner's taste in music affect your interest? | I would drop someone whose music I dislike ; It would make me hesitate a little ; I would barely notice ; It does not matter to me at all
S | personality | How do you act when someone attractive starts talking to you? | I freeze up and barely speak ; I answer but struggle to keep it going ; I chat normally ; I flirt back with confidence
S | values | How much should looks matter when choosing someone to date? | They should not matter at all ; They matter a little as a starting point ; They matter as much as personality ; They matter more than anything else
S | taste | How do you feel about a date who orders for you without asking? | I find it rude and controlling ; I find it a little odd ; I do not mind either way ; I find it charming
S | values | How much should a date's financial situation matter to you? | Not at all ; Only if they are in serious debt ; I want them to be stable ; I want them to earn at least as much as me ; I want them to be wealthy
S | personality | How often do you develop crushes? | I almost never get crushes ; I get a crush now and then ; I often have a crush on someone ; I always have a crush on someone
S | taste | How do you feel about a date suggesting a double date early on? | I would refuse ; I would feel uneasy but go ; I would be fine with it ; I would love the idea
S | values | How much effort should someone put into planning a first date? | Just pick a nearby coffee shop ; Choose a place with some thought ; Plan an activity based on what I like ; Plan a full surprise evening
S | personality | How comfortable are you with silence on a first date? | Any pause makes me panic ; Short pauses make me uneasy ; I can handle pauses fine ; I enjoy quiet moments together
S | taste | How do you feel when a date is very physically affectionate early on? | It makes me want to leave ; It makes me a bit uncomfortable ; I am neutral about it ; I like it a lot
S | values | How many dates should you go on before deciding someone is not right for you? | One date is enough to know ; Two dates to be fair ; A few dates to really tell ; Many dates because chemistry can grow
S | personality | How much do you rely on your friends' opinions of someone you are dating? | I ignore what they think ; I listen but decide for myself ; I weigh it heavily ; I would end it if they disapproved
S | taste | How much does a date's cooking skill matter to you? | Not at all ; It is a small bonus ; It is a real plus ; I would find it very hard to date someone who cannot cook
S | social | How acceptable would most people say it is to date someone much younger? | Most would find it creepy ; Most would raise an eyebrow ; Most would not care ; Most would think it is fine and even admirable
S | taste | How do visible tattoos affect your interest in a date? | I would decline a date because of them ; I would go but they would count against them ; I would not notice them either way ; I would ask about them with real interest ; They would be part of why I said yes
S | values | How honest should a dating profile be? | A little exaggeration is fine ; Good angles are fine but facts must be true ; Everything should be accurate ; It should even list your flaws
S | personality | How do you usually feel on dating apps? | I enjoy them and have fun ; I find them fine but tiring ; I find them draining ; I find them miserable
S | taste | How much do you care if a date is punctual? | I do not care if they are late ; A short delay is fine ; I notice lateness and it bothers me ; I would not see someone again if they were late
S | values | How much should you change your appearance to attract a partner? | Not at all ; Just dress well for dates ; Make some lasting changes ; Change as much as it takes
S | personality | How much do you overthink texts from someone you like? | I send whatever comes to mind ; I reread before sending ; I draft and redraft ; I show every text to a friend before sending
S | taste | How much do you enjoy being set up on dates by friends? | I refuse to be set up ; I go reluctantly ; I am happy to go ; I actively ask friends to set me up
S | values | How important is it that a date has similar religious views? | It does not matter at all ; It would be nice ; It matters a lot ; It is a dealbreaker
S | personality | How patient are you when someone is slow to show interest? | I move on right away ; I give them a little time ; I wait quite a while ; I wait as long as it takes
S | taste | How appealing is a date who is very close with their mother? | It worries me ; I am neutral ; It is a nice sign ; It is one of the most attractive traits
S | values | How much is it okay to talk about your ex on a first date? | Not at all ; A passing mention ; A short honest summary ; As much as you like
S | personality | How much do you plan ahead when going on a date? | I plan nothing ; I pick a place ; I plan the place and backup ideas ; I plan every detail and topic
S | taste | How do you feel about long messages from a new match? | I skip them ; I find them a bit much ; I enjoy them ; I love them and write back just as long
S | values | How soon should someone say they want a serious relationship? | Never say it outright ; Only after a few months ; Within the first few dates ; On the very first date or profile
S | taste | How do you feel about a date who is shy? | I lose interest ; I find it a little hard ; It does not affect me ; I find it endearing
S | personality | How do you usually react when a date disagrees with you? | I avoid the topic after that ; I agree to keep things smooth ; I calmly share my view ; I enjoy a good debate
S | values | How acceptable is it to stay friends with someone you went on a few dates with? | It never works ; It is awkward but possible ; It is fine ; It is a great outcome
S | personality | How much do you enjoy flirting just for fun? | I never flirt ; I flirt only when I am interested ; I flirt now and then for fun ; I flirt with almost everyone
S | social | How acceptable would most people say it is to split the bill on a first date? | Most would find it rude ; Most would find it a bit unromantic ; Most would find it normal ; Most would expect it
S | personality | How quickly do you fall for someone new? | It takes me many months ; It takes a few weeks ; It takes a few dates ; I fall almost immediately
S | taste | How much do you enjoy a date who teases you? | I hate being teased ; I tolerate a little ; I enjoy it ; I love it and tease back
S | values | How much should a date's past relationships affect your view of them? | I would never ask or care about them ; I would only care if they cheated before ; I would care about any pattern of messy endings ; I would want to hear about each one before a second date
S | personality | How often do you initiate conversations on dating apps? | I never start conversations ; I start only with people I really like ; I start about half the time ; I almost always start
S | taste | How do you feel about a date who brings you flowers? | I would find it over the top ; I would feel a little awkward ; I would find it sweet ; I would be delighted
S | values | How much should friends' approval matter in who you date? | Not at all ; A little ; A lot ; It should decide it
S | taste | How would you feel dating someone very ambitious who works late most nights? | I would end it because I want more time together ; I would stay but feel neglected ; I would accept it as long as weekends are ours ; I would admire it and fill my own time happily ; I would find it one of their most attractive traits
S | personality | How do you usually handle a date who is more talkative than you? | I get bored and zone out ; I listen politely ; I enjoy the break from talking ; I love it
S | taste | How much does a date's laugh affect your interest? | Not at all ; A bad laugh bothers me a little ; A great laugh makes me like them more ; A laugh can make or break it for me
